"","cHL1","cHL2","cHL3","cHL4","cHL5","cHL6","cHL7","cHL8","cHL9","cHL10","cHL11","cHL12","NLPHL1","NLPHL2","NLPHL3","NLPHL4","NLPHL5","CB1","CB2","CB3","CB4","CB5"
"EBI3",7.13882042692289,8.29425476757875,9.34900802794726,9.27369015395498,8.72735239792664,7.91473464183951,8.41737530077353,6.72241484710319,7.18512636932612,8.32266569038139,8.25175807627774,8.39656811599569,7.56292334707577,7.13393586019357,7.59537834796625,8.70359211421037,8.0277314991372,5.92651970965081,6.11396742656231,6.60032052256054,6.21263072068133,5.79665235306221
"ADGRG2",1.84392906280325,9.01566171248558,1.56954913376437,3.20959765383287,5.94610917698235,5.75380916456012,2.12140662264895,3.02236996285839,2.85207159782238,1.54578107154695,2.45733399136703,1.80164209149318,2.83726430678936,3.3034367584891,3.60277710802805,4.90703545734573,2.23359663969307,1.54133529535509,2.02940790989202,1.50353044993715,1.72318869638409,1.84030913845379
"PLXNC1",4.5216518538017,6.71184589381867,5.20867591743946,4.09074917796911,6.74491865831887,2.87879269694056,2.94416174107332,3.07308108853642,5.53844701538869,3.3889984164126,2.83791430196538,5.63517387247758,5.09831447331542,5.88946006844377,7.99854242961977,5.53687148048928,6.69069798386807,2.60629339986002,2.90528135820906,3.0769722108824,2.71569522980421,2.62887870323232
"FARP1",3.8780324436475,5.13924383328536,3.50074744100274,3.97809047464979,4.75521227212142,3.71385708143718,2.95878586481331,4.32336033583117,6.21591648301881,3.40896141693987,3.92638514860219,3.78561490047654,4.18397699423519,5.58847892119971,6.40936212979796,5.26244420651134,4.68868471048364,2.96427168696582,2.70141677671277,3.10006357555433,2.86065089245101,2.67386876915433
"SLC25A13",3.55686011742639,3.63197187606805,4.26981945462378,3.94224398718926,3.99345999189709,2.03660119228445,2.90495127920144,2.03798037119049,2.50694132529362,3.38323483315983,2.80349504199601,3.21291968228707,4.28964448349575,3.74899842072679,3.87026202894331,5.52855335852307,4.81806302825161,3.47861681445409,3.15826787209012,3.98206542149583,4.32979689277017,4.33443828216289
"DHRS9",4.03871776903424,4.2054725803384,5.54458666150584,4.0105051367863,3.72652285451721,3.90403234940843,5.4832447590399,4.13066960241103,4.50246434173273,4.18013953971061,6.28220167301271,4.12277175733455,6.14246647461702,5.28996686019176,7.38346083797954,6.85562745096312,5.65301784733695,7.33984755073004,6.87926500461415,7.07735517915821,6.91068563400034,7.35861845233846
"RCL1",6.93615819139156,5.07339781683843,7.19773855110713,4.52935511017163,5.58956013507956,5.48470869958483,6.43360239769178,3.57631009199241,4.21233655499075,5.48917127602704,5.28924218779413,7.21353022533956,5.37320991802973,5.07958108398751,4.23155562409783,5.04226362581661,5.62223966081844,3.99000235582974,4.6433549803126,4.16125303031001,3.94143884133778,4.42573431097196
"CNIH1",3.43331001393133,4.8177128366625,5.25816572749049,5.36929905153505,6.39718696950892,3.34028964529846,5.18818656685248,3.31826469408398,3.6777653975785,2.8581429616721,3.20930021452951,6.24851824717721,4.83269948164145,5.38377892925469,4.72510426520668,5.19381093703753,6.66553633135058,6.04806533809173,4.32920612894009,6.08170546231239,6.53345252882474,6.07200620456867
"RBM6",4.09018529518941,4.8335859481177,5.18375955294858,3.38414954054945,5.001551877478,2.90512475197178,2.58221596750264,5.27139051423971,3.04823532390146,4.53616866302083,4.87628592272938,4.24900174309939,4.76354017601467,4.34869802764085,5.90909518538908,6.3124809641463,3.74530178875639,7.6209621254464,7.79889047435954,7.89027569897957,8.68562073391868,7.86022931024847
"RBM5",1.84392906280325,2.5034298438567,2.55880852015716,1.8475888859974,3.83035408647266,1.83184862565179,1.92207164041591,3.31083614503716,1.47354638619021,2.58248800751709,2.51940049723918,3.32940407916702,2.5034298438567,2.47673760171384,2.92926848562296,3.4771397639256,4.10375899815635,4.00448033503185,3.26721811922634,4.26221144983656,3.80593334682673,3.69229794939522
"LHFPL2",5.86343567491861,6.94117184280884,5.33776191828349,4.92034907140233,6.44439940756079,5.22218176399736,5.11491940119632,5.30172524292663,6.190899702264,5.33493976643778,4.6273545989628,4.14987068113546,6.09837683803177,6.99843073022933,8.12343674281651,7.58449496004144,5.56447654110657,6.4129776793972,6.24979569967497,7.31620308621433,6.532713838825,6.40373967079525
"CDK4",4.97586208113611,5.3348876432349,5.34829412209926,6.45320942140687,5.87764229867042,5.25675781135451,7.03351969081151,5.0847243107968,6.33716850500051,5.12969718364796,4.56496272455246,5.57490713010674,5.87299198248963,5.75605031805507,4.60200921564395,5.43647309268137,5.08792353280819,4.18844901614535,4.23546195367804,4.51594865892067,5.12674046008227,4.62384888685499
"TXNDC9",5.15703531399428,4.77652364678785,6.0823363989861,4.29125642303561,6.03022618959877,2.97431470955049,4.3667180668132,2.55248251061352,3.50928499432766,3.61230587248161,4.8518554407178,5.30071663389367,5.09831447331542,4.21292527050295,5.96118911546904,5.47441431755087,5.83048382986745,6.73523970155082,6.50354667277675,6.91119502236681,6.9215075188157,6.38832711329876
"LOC101927432",2.62643033787786,2.34454560059831,2.12717908086037,3.02420778815679,3.24622727887467,2.25755774188006,2.62772559331924,2.5863965459996,2.15282808619623,2.30798929651303,3.06731719141076,2.79728356976232,2.14208226939436,2.03432536961093,2.5927045281518,2.12790078352926,2.22110154304138,3.43566283538519,3.59966325366614,3.31241420262477,4.60485549041561,3.4249703379365
"LOC101928000",4.47064946219245,4.76133718261596,5.06618498002766,3.69394522032726,6.1257850554796,5.19335503265383,4.61651969517262,3.85499514640175,5.26197059760303,4.39013009304295,4.23778222580813,6.39819757896941,5.23746645289192,6.84723851607476,4.68654278544007,6.51903570340716,6.41836501194613,4.89503754359153,5.05887671357894,5.48909540768558,5.8076223763518,4.70437417155377
